Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,02-10-2017,Offline,65,Not_Canceled
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,06-11-2018,Online,106.68,Not_Canceled
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,28-02-2018,Online,60,Canceled
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,20-05-2018,Online,100,Canceled
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,11-04-2018,Online,94.5,Canceled
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,13-09-2018,Online,115,Canceled
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,15-10-2017,Online,107.55,Not_Canceled
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,26-12-2018,Online,105.61,Not_Canceled
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,06-07-2018,Offline,96.9,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,18-10-2018,Online,133.44,Not_Canceled
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,11-09-2018,Online,85.03,Not_Canceled
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,30-04-2018,Online,140.4,Not_Canceled
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,26-11-2018,Online,88,Canceled
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,20-11-2018,Online,90,Canceled
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,20-10-2017,Online,94.5,Not_Canceled
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,15-06-2018,Online,115,Canceled
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,05-10-2017,Offline,96,Not_Canceled
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,10-08-2017,Online,96,Not_Canceled
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,30-10-2017,Online,65,Canceled
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,04-10-2017,Offline,72,Not_Canceled
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,30-10-2017,Online,65,Canceled
INN00022,1,0,0,1,Meal Plan 1,Room_Type 1,122,25-11-2018,Corporate,67,Not_Canceled
INN00023,2,0,2,4,Meal Plan 1,Room_Type 1,2,20-03-2018,Offline,85,Not_Canceled
INN00024,2,0,0,3,Meal Plan 1,Room_Type 1,37,13-10-2018,Offline,105,Not_Canceled
INN00025,2,0,2,1,Not Selected,Room_Type 1,130,22-05-2018,Online,94.5,Not_Canceled
INN00026,2,0,0,2,Meal Plan 1,Room_Type 1,99,28-04-2018,Online,114.3,Not_Canceled
INN00027,2,0,1,1,Meal Plan 1,Room_Type 1,60,21-09-2017,Offline,65,Not_Canceled
INN00028,1,0,0,2,Meal Plan 1,Room_Type 4,2,19-05-2018,Aviation,110,Canceled
INN00029,1,0,1,2,Meal Plan 1,Room_Type 1,37,06-11-2017,Online,37.33,Canceled
INN00030,2,0,0,2,Meal Plan 2,Room_Type 1,56,17-09-2017,Offline,82,Not_Canceled
INN00031,2,0,1,1,Meal Plan 1,Room_Type 4,3,19-09-2017,Online,177.5,Not_Canceled
INN00032,2,0,2,2,Meal Plan 1,Room_Type 1,107,13-11-2018,Online,87.5,Not_Canceled
INN00033,0,2,0,3,Meal Plan 1,Room_Type 2,56,07-12-2018,Online,82.44,Not_Canceled
INN00034,2,0,0,1,Not Selected,Room_Type 1,2,09-01-2018,Online,69.5,Not_Canceled
INN00035,2,0,0,2,Meal Plan 1,Room_Type 1,72,07-10-2018,Offline,85.5,Not_Canceled
INN00036,2,0,0,1,Not Selected,Room_Type 1,23,27-04-2018,Online,115,Not_Canceled
INN00037,1,0,2,1,Meal Plan 1,Room_Type 1,34,19-06-2018,Online,81,Canceled
INN00038,2,0,0,1,Meal Plan 1,Room_Type 1,289,17-10-2017,Offline,67,Not_Canceled
INN00039,2,0,2,3,Not Selected,Room_Type 1,247,19-11-2018,Online,63.75,Canceled
INN00040,2,0,2,1,Meal Plan 1,Room_Type 4,186,30-07-2018,Online,121.8,Canceled
INN00041,2,0,0,4,Meal Plan 1,Room_Type 1,64,01-11-2018,Online,93.6,Not_Canceled
INN00042,2,0,0,2,Meal Plan 1,Room_Type 1,35,21-06-2018,Online,102,Not_Canceled
INN00043,3,0,2,1,Meal Plan 1,Room_Type 1,96,10-04-2018,Online,121.8,Not_Canceled
INN00044,2,0,1,1,Not Selected,Room_Type 1,41,27-06-2018,Online,98.1,Canceled
INN00045,2,0,0,4,Meal Plan 1,Room_Type 4,55,18-11-2017,Offline,60,Not_Canceled
INN00046,2,0,0,3,Meal Plan 1,Room_Type 1,146,29-12-2017,Offline,75,Not_Canceled
INN00047,1,0,0,2,Meal Plan 1,Room_Type 1,32,20-11-2017,Offline,73,Not_Canceled
INN00048,2,0,0,1,Meal Plan 2,Room_Type 1,55,06-04-2018,Offline,104,Not_Canceled
INN00049,2,0,0,4,Not Selected,Room_Type 1,57,01-11-2018,Online,79.2,Not_Canceled
INN00050,1,0,1,3,Meal Plan 1,Room_Type 4,7,29-12-2018,Online,125.8,Not_Canceled
INN00051,1,0,2,5,Not Selected,Room_Type 1,124,30-05-2018,Online,87.95,Not_Canceled
INN00052,2,0,2,2,Meal Plan 2,Room_Type 1,169,22-04-2018,Online,106,Canceled
INN00053,1,0,1,2,Meal Plan 1,Room_Type 1,6,16-05-2018,Online,136.67,Not_Canceled
INN00054,2,0,0,4,Meal Plan 1,Room_Type 4,51,11-11-2017,Offline,60,Not_Canceled
INN00055,2,0,1,0,Not Selected,Room_Type 1,13,13-06-2018,Online,89,Not_Canceled
INN00056,2,0,1,3,Meal Plan 1,Room_Type 1,100,19-05-2018,Online,136,Not_Canceled
INN00057,2,0,0,1,Not Selected,Room_Type 1,139,28-07-2018,Online,94.5,Not_Canceled
INN00058,2,0,1,2,Meal Plan 1,Room_Type 1,117,26-12-2018,Online,93.6,Not_Canceled
